product_id,product_name,price,qty
40007699,"a5 2017 ",1800,25
40008499,"Tableau Vibrations of Nature",300,63
40007998,"Mac Book Pro 2017",9500,15
40008298,"Afficheur Huawei Nova 3i",350,123
40007897,"kia pikanto",48000,11
40007697,"Boitier Pc Gamer RAIDMAX Monster II SE ATX-A08TW",1390,41
39241797,"Dell optiplex 7020 DESCKTOP",1149,138
39235497,"tajin",75,88
39237295,"PS4 Pro a prix imbattable",3200,22
39235395,"Citerne inox",35000,129
39235495,"Paravent 5 volets PATH TO THE SEA II",950,111
40008595,"Iphone xs max 64gb Gold",7500,123
39235095,"Mercedes Benz 207D ",125000,150
39241295,"barza",3500,113
40007694,"Lenovo Thinkpad T540P i7 15P 8Go 500Go HDD FullHD",3300,80
37270494,"Impression 200 Carte visite MAT 300gr",79,143
39243093,"zrabi",500,124
39235192,"masira 1",1500,75
40007792,"BATTERIE 150AH 12V",3300,90
39236692,"Mini frigo boisson",2800,75
40007492,"Pack promo lot 4 Taifours artisanals",99,72
39241292,"ECRAN ECRAN DELL 1708 FPT",390,133
39236192,"Lipstick",250,105
40008391,"iPhone Noir",1200,99
39240391,"Printer Ink",400,91
39235390,"Suzuki carry essence",45000,12
40007689,"Boitier Pc Gamer RAIDMAX ZETA RGB",1240,125
39243089,"DELL Precision T5810-1620v3- QUADRO K4000",7200,59
39359689,"Casque SENNHEISER PXC 550",1300,61
39241089,"terrain villa a vendre",1.1362e+06,28
39243588,"nike spadri",200,66
39235188,"Mercedes 190",55000,127
39241388,"Iphone xs 64 go gold",6800,142
40007487,"velos avendre 450 dh",450,89
40008586,"Macbook Pro 2017 15",16600,71
39240585,"DELL Optiplex 3060 MINI TOUR i7-8700",7800,70
38419285,"iPhone X 64GB Silver",5,71
40008085,"Amplificateur",250,109
39241184,"vente",1000,65
40007684,"mazda 6",38000,132
39243283,"placard 2 portes 3oud chaine",1250,63
39236683,"makina l3asir",7000,39
39238883,"MBK STUNT TRES BONNE ETAT",15000,31
39236482,"Chien papillon",600,31
39234682,"montre originale",9999,52
39242082,"Workstation dell T3600",3390,85
40007481,"Mercedes E classe 250",69000,112
39235281,"Salon ",8500,87
39237481,"APPARTEMENT HAUT STANDING 138m",1.65e+06,19
39234980,"Dacia Duster",120000,40
39241780,"Huawei y7 prime 2018",750,16
39240679,"HP Z820-64 Go DDR3 ECC- GTX ASUS TURBO 1080",22400,107
39238778,"feran",400,99
39482078,"Opel Insignia Diesel",88000,39
39240977,"CHAISE GAMING",2390,50
39241176,"Dell Optiplex 3010 DESCKTOP Celeron G540",790,94
39243876,"routeur wifi",550,50
40007375,"HP Chromebook M5 4Go 32Go SSD 3K Display",1700,8
40007475,"Hyundai h1",85000,46
39241475,"Triya",700,14
39234773,"Bookshelf",290000,111
40008773,"xbox 360 2 manettes",700,81
39243073,"Telecomande de porte",100,118
39236373,"generateur solaire multiples",350,105
39234872,"Keyboard",55,65
40007372,"Iphone 11 pro 256",9700,24
39237872,"Caisse",3000,139
39235172,"Nissan Pick up Diesel",130000,69
39236971,"froid camion",1500,141
39239671,"Husky pure ",1000,138
40007870,"Dell Precision T3600 Workstation",3390,134
40007770,"HP Z620 Workstation-E5-2640 v2-GTX 1060 6 Go",13400,129
